"","URL","Industry","Company","YearEstablished","Employees","Revenue_DKK","EBITA_DKK","Address","Lat","Long"
"1","https://www.proff.dk/firma/bio.flight-as/holte/tekniske-konsulenter/13WI7II01OU/","Technical Consultants","BIO.FLIGHT A/S",1981,22,9496000,5002000,"Vasevej 53, 2840 Holte",12.449066,55.829274
"2","https://www.proff.dk/firma/dansk-bioconsult-aps/snedsted/tekniske-konsulenter/0LZE21I01OU/","Technical Consultants","Dansk Bioconsult ApS",2015,6,930000,143000,"Svankjærvej 6, 7752 Snedsted",8.513211,56.896704
"3","https://www.proff.dk/firma/ja-bioservice-aps/skive/tekniske-konsulenter/0LRLMZI01OU/","Technical Consultants","JA Bioservice ApS",2015,1,594000,-50000,"Vestre Alle 6, 7800 Skive",9.016126,56.57049
"4","https://www.proff.dk/firma/biotechnics-danmark-as/h%C3%B8rsholm/tekniske-konsulenter/0HR6TUI01OU/","Technical Consultants","BIOTECHNICS DANMARK A/S",2009,3,146000,81000,"Axel Heides Vej 2, 2970 Hørsholm",12.514966,55.908967
"5","https://www.proff.dk/firma/biopartner-nordic-aps/hedehusene/tekniske-konsulenter/0MPR6SI01OU/","Technical Consultants","BioPartner Nordic ApS",2016,1,78000,56000,"Vestervang 3, 2640 Hedehusene",12.189331,55.651011
"6","https://www.proff.dk/firma/bioconsult-aps/aarhus-v/tekniske-konsulenter/0H9941I01OU/","Technical Consultants","BIO/CONSULT ApS",2005,1,-83000,-46000,"Jernaldervej 152, 8210 Aarhus V",10.140518,56.173784
"7","https://www.proff.dk/firma/bio-aqua-frederikssund/frederikssund/tekniske-konsulenter/GVB330I01OU/","Technical Consultants","Bio-Aqua Frederikssund",2014,3,1439000,64000,"Strøbjergvej 29, 3600 Frederikssund",12.12021,55.882727
"8","https://www.proff.dk/firma/andritz-feed-biofuel-as/esbjerg-%C3%B8/tekniske-konsulenter/0Q3YA2I01OU/","Technical Consultants","ANDRITZ FEED & BIOFUEL A/S",1964,107,95470000,9826000,"Glentevej 5-7, 6705 Esbjerg Ø",10.035858,56.476916
"9","https://www.proff.dk/firma/lundsby-biogas-as/l%C3%B8gstrup/tekniske-konsulenter/089W7WI01OU/","Technical Consultants","Lundsby Biogas A/S",1990,31,22285000,2501000,"Hjarbækvej 65, 8831 Løgstrup",9.328904,56.50684
"10","https://www.proff.dk/firma/biostata-aps/birker%C3%B8d/tekniske-konsulenter/1HIXUFI01OU/","Technical Consultants","BIOSTATA ApS",1982,14,13329000,624000,"Bregnerødvej 132 1, 3460 Birkerød",12.4184638,55.8383456
"11","https://www.proff.dk/firma/danish-biomass-combustion-aps/helsing%C3%B8r/tekniske-konsulenter/0N92U0I01OU/","Technical Consultants","DANISH BIOMASS COMBUSTION ApS",2017,1,2246000,881000,"Rahbeksvej 1, 3000 Helsingør",12.586926,56.03532
"12","https://www.proff.dk/firma/bio-aqua-as/frederikssund/tekniske-konsulenter/0EEY1WI01OU/","Technical Consultants","Bio-Aqua A/S",1999,3,1439000,64000,"Strøbjergvej 29, 3600 Frederikssund",12.12021,55.882727
"13","https://www.proff.dk/firma/biosyntia-aps/k%C3%B8benhavn-%C3%B8/tekniske-konsulenter/0KRVL6I01OU/","Technical Consultants","BIOSYNTIA ApS",2012,18,818000,-11972000,"Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"14","https://www.proff.dk/firma/biofuel-technology-as/eg%C3%A5/tekniske-konsulenter/0JVA17I01OU/","Technical Consultants","BIOFUEL TECHNOLOGY A/S",2010,1,562000,439000,"Bredkær Parkvej 58, 8250 Egå",10.290438,56.216424
"15","https://www.proff.dk/firma/bo-bio-consult-aps/sk%C3%A6vinge/tekniske-konsulenter/0M00GKI01OU/","Technical Consultants","Bo Bio Consult ApS",2015,1,539000,66000,"Hovedgaden 2, 3320 Skævinge",12.150696,55.907758
"16","https://www.proff.dk/firma/bio-energy-consultants-aps/s%C3%B8borg/tekniske-konsulenter/0HR8JUI01OU/","Technical Consultants","BIO ENERGY CONSULTANTS ApS",2006,1,87000,77000,"Marienborg Alle 49, 2860 Søborg",12.50654,55.733133
"17","https://www.proff.dk/firma/biowitt-aps/ribe/tekniske-konsulenter/0JHXENI01OU/","Technical Consultants","BIOWITT ApS",2010,1,26000,22000,"Lustrupvej 18, 6760 Ribe",8.772248,55.309299
