"","URL","Industry","Company","YearEstablished","Employees","Revenue_DKK","EBITA_DKK","Address"
"8","https://www.proff.dk/firma/dupont-nutrition-biosciences-aps/k%C3%B8benhavn-k/tekniske-konsulenter/06R9ZOI01OU/","Technical Consultants","DUPONT NUTRITION BIOSCIENCES ApS",1881,1000,7.2e+08,1.162e+09,"Langebrogade 1, 1411 København K"
"146","https://www.proff.dk/firma/borregaard-bioplant-aps/aarhus-n/tekniske-konsulenter/0CSTULI01OU/","Technical Consultants","BORREGAARD BIOPLANT ApS",1999,23,11482000,907000,"Helsingforsgade 27 B, 8200 Aarhus N"
"157","https://www.proff.dk/firma/bio.flight-as/holte/tekniske-konsulenter/13WI7II01OU/","Technical Consultants","BIO.FLIGHT A/S",1981,22,9496000,5002000,"Vasevej 53, 2840 Holte"
"228","https://www.proff.dk/firma/biogas-express-as/randers-sv/tekniske-konsulenter/0N0499I01OU/","Technical Consultants","Biogas Express A/S",2017,NA,5272000,4615000,"Alsvej 21, 8940 Randers SV"
"809","https://www.proff.dk/firma/dansk-bioconsult-aps/snedsted/tekniske-konsulenter/0LZE21I01OU/","Technical Consultants","Dansk Bioconsult ApS",2015,6,930000,143000,"Svankjærvej 6, 7752 Snedsted"
"1004","https://www.proff.dk/firma/ja-bioservice-aps/skive/tekniske-konsulenter/0LRLMZI01OU/","Technical Consultants","JA Bioservice ApS",2015,1,594000,-50000,"Vestre Alle 6, 7800 Skive"
"1292","https://www.proff.dk/firma/lawa-bioconsulting-aps/br%C3%B8nsh%C3%B8j/tekniske-konsulenter/0OKYHOI01OU/","Technical Consultants","Lawa BioConsulting ApS",2020,NA,246000,246000,"Sparresholmvej 47, 2700 Brønshøj"
"1365","https://www.proff.dk/firma/fermbiotics-aps/b%C3%A6kke/tekniske-konsulenter/0N8MWRI01OU/","Technical Consultants","FermBiotics ApS",2017,NA,166000,-16000,"Vorbassevej 12, 6622 Bække"
"1389","https://www.proff.dk/firma/biotechnics-danmark-as/h%C3%B8rsholm/tekniske-konsulenter/0HR6TUI01OU/","Technical Consultants","BIOTECHNICS DANMARK A/S",2009,3,146000,81000,"Axel Heides Vej 2, 2970 Hørsholm"
"1484","https://www.proff.dk/firma/biopartner-nordic-aps/hedehusene/tekniske-konsulenter/0MPR6SI01OU/","Technical Consultants","BioPartner Nordic ApS",2016,1,78000,56000,"Vestervang 3, 2640 Hedehusene"
"1505","https://www.proff.dk/firma/biofuel-technology-holding-aps/eg%C3%A5/tekniske-konsulenter/0LUMD3I01OU/","Technical Consultants","Biofuel Technology Holding ApS",2015,NA,63000,75000,"Bredkær Parkvej 58, 8250 Egå"
"1537","https://www.proff.dk/firma/bio2oil-aps/aarhus-v/tekniske-konsulenter/0LRLEDI01OU/","Technical Consultants","Bio2Oil ApS",2015,NA,49000,48000,"Bautavej 1 A, 8210 Aarhus V"
"1818","https://www.proff.dk/firma/bionic-progress-gears-aps/randers-c/tekniske-konsulenter/0OU51TI01OU/","Technical Consultants","Bionic Progress Gears ApS",2020,NA,-87000,-87000,"Prins Christians Gade 7 4 th, 8900 Randers C"
"1825","https://www.proff.dk/firma/bioconsult-aps/aarhus-v/tekniske-konsulenter/0H9941I01OU/","Technical Consultants","BIO/CONSULT ApS",2005,1,-83000,-46000,"Jernaldervej 152, 8210 Aarhus V"
"2033","https://www.proff.dk/firma/bio-partners-aps/f%C3%A5rup/tekniske-konsulenter/0L8QT4I01OU/","Technical Consultants","Bio Partners ApS",2014,NA,-13000,18000,"Glenstrup Søvej 1, 8990 Fårup"
"2164","https://www.proff.dk/firma/aea-biopower-aps/herning/tekniske-konsulenter/0JDVDTI01OU/","Technical Consultants","AEA BIOPOWER ApS",2009,NA,-5000,1000,"Faksevej 17, 7400 Herning"
"2435","https://www.proff.dk/firma/nordic-bioenergy-aps-under-konkurs/viborg/tekniske-konsulenter/GRA9E2I01OU/","Technical Consultants","Nordic Bioenergy ApS  Under Konkurs",2007,NA,-20000,-1033000,"Finderupvej 68, 8800 Viborg"
"2487","https://www.proff.dk/firma/dansk-biovarme-s.m.b.a/broby/tekniske-konsulenter/GSWPD7I01OU/","Technical Consultants","Dansk-Biovarme S.m.b.a",2010,1,39000,39000,"Amerikavej 12, 5672 Broby"
"2537","https://www.proff.dk/firma/js-biotech-consult/kongens-lyngby/tekniske-konsulenter/GU15G0I01OU/","Technical Consultants","Js Biotech Consult",NA,0,0,NA,"Sverigesvej 13A, 2800 Kongens Lyngby"
"2610","https://www.proff.dk/firma/bio-aqua-frederikssund/frederikssund/tekniske-konsulenter/GVB330I01OU/","Technical Consultants","Bio-Aqua Frederikssund",2014,3,1439000,64000,"Strøbjergvej 29, 3600 Frederikssund"
"2631","https://www.proff.dk/firma/vester-hjermitslev-biogasanl%C3%A6g-under-konkurs/br%C3%B8nderslev/tekniske-konsulenter/GVQ2V1I01OU/","Technical Consultants","Vester Hjermitslev Biogasanlæg  Under Konkurs",2015,NA,-20000,-1033000,"Engkrogen 10, 9700 Brønderslev"
"2684","https://www.proff.dk/firma/biopartner-nordic-aps/hedehusene/tekniske-konsulenter/GWEORJI01OU/","Technical Consultants","Biopartner Nordic ApS",2016,NA,78000,56000,"Vestervang 3, 2640 Hedehusene"
"2725","https://www.proff.dk/firma/mplu-biorefining-aps/kongens-lyngby/tekniske-konsulenter/GWVYVNI01OU/","Technical Consultants","Mplu Biorefining ApS",2017,NA,281000,278000,"Langs Hegnet 18B, 2800 Kongens Lyngby"
"2837","https://www.proff.dk/firma/biopowerkenddinmad/k%C3%B8benhavn-n/tekniske-konsulenter/GYJD80I01OU/","Technical Consultants","Biopower&amp;Kenddinmad",NA,0,0,NA,"Ægirsgade 16, st. th., 2200 København N"
"3076","https://www.proff.dk/firma/biovest-vjohn-frikke/bramming/tekniske-konsulenter/09DY0YI01OU/","Technical Consultants","BIOVEST V/JOHN FRIKKE",NA,0,0,NA,"Østertoften 81, 6740 Bramming"
"3154","https://www.proff.dk/firma/bioformidling-vdorte-hammelev/dysseg%C3%A5rd/tekniske-konsulenter/0AGNVEI01OU/","Technical Consultants","BIOFORMIDLING V/DORTE HAMMELEV",NA,0,0,NA,"Sønderengen 112, 2870 Dyssegård"
"3335","https://www.proff.dk/firma/aquatic-biological-consulting-vlars-angantyr/gentofte/tekniske-konsulenter/0CGPJRI01OU/","Technical Consultants","AQUATIC BIOLOGICAL CONSULTING V/LARS ANGANTYR",NA,0,0,NA,"Tjørnekrogen 2, 2820 Gentofte"
"3740","https://www.proff.dk/firma/bioapp/odder/tekniske-konsulenter/0GPHHNI01OU/","Technical Consultants","BioApp",NA,0,0,NA,"Alrøvej 201, 8300 Odder"
"3916","https://www.proff.dk/firma/educational-biotechnology-vphilip-schr%C3%B8der-oppenheim/hellerup/tekniske-konsulenter/0I0O9PI01OU/","Technical Consultants","Educational Biotechnology v/Philip Schrøder Oppenheim",NA,0,0,NA,"Høyrups Alle 6 1 th, 2900 Hellerup"
"4069","https://www.proff.dk/firma/biopowerkenddinmad/nyk%C3%B8bing-sj/tekniske-konsulenter/0J17XYI01OU/","Technical Consultants","Biopower&amp;Kenddinmad",NA,0,0,NA,"Glostrupvej 21, 4500 Nykøbing Sj"
"4153","https://www.proff.dk/firma/dansk-biovarme-s.m.b.a./broby/tekniske-konsulenter/0JKULTI01OU/","Technical Consultants","DANSK-BIOVARME S.M.B.A.",2010,1,39000,39000,"Amerikavej 12, 5672 Broby"
"4307","https://www.proff.dk/firma/js-biotech-consult/kgs.-lyngby/tekniske-konsulenter/0KEIMLI01OU/","Technical Consultants","JS Biotech Consult",NA,0,0,NA,"Sverigesvej 13 A, 2800 Kgs. Lyngby"
"4564","https://www.proff.dk/firma/erh-bioconsulting/birker%C3%B8d/tekniske-konsulenter/0LMOIJI01OU/","Technical Consultants","ERH Bioconsulting",NA,0,0,NA,"Granbakken 6 B, 3460 Birkerød"
"4566","https://www.proff.dk/firma/meijs-biomed/aalborg-s%C3%B8/tekniske-konsulenter/0LMURXI01OU/","Technical Consultants","Meijs Biomed",NA,0,0,NA,"Myrtebo 2, 9210 Aalborg SØ"
"4611","https://www.proff.dk/firma/biobasiq-sverige-ab/aarhus-n/tekniske-konsulenter/0M1FMXI01OU/","Technical Consultants","Biobasiq Sverige AB",NA,0,0,NA,"Helsingforsgade 27 B, 8200 Aarhus N"
"4683","https://www.proff.dk/firma/fermbiotics-holding-aps/b%C3%A6kke/tekniske-konsulenter/0MD6LCI01OU/","Technical Consultants","FermBiotics Holding ApS",2016,NA,39000,663000,"Vorbassevej 12, 6622 Bække"
"4732","https://www.proff.dk/firma/nordic-bioconsulting/kokkedal/tekniske-konsulenter/0MMO3AI01OU/","Technical Consultants","Nordic BioConsulting",NA,0,0,NA,"Jellerød Have 123, 2980 Kokkedal"
"4738","https://www.proff.dk/firma/terbio/charlottenlund/tekniske-konsulenter/0MN93CI01OU/","Technical Consultants","Terbio",NA,0,0,NA,"Ellinorsvej 26, 2920 Charlottenlund"
