"","URL","Industry"
"8","https://www.proff.dk/firma/dupont-nutrition-biosciences-aps/k%C3%B8benhavn-k/tekniske-konsulenter/06R9ZOI01OU/","Technical Consultants"
"146","https://www.proff.dk/firma/borregaard-bioplant-aps/aarhus-n/tekniske-konsulenter/0CSTULI01OU/","Technical Consultants"
"157","https://www.proff.dk/firma/bio.flight-as/holte/tekniske-konsulenter/13WI7II01OU/","Technical Consultants"
"228","https://www.proff.dk/firma/biogas-express-as/randers-sv/tekniske-konsulenter/0N0499I01OU/","Technical Consultants"
"809","https://www.proff.dk/firma/dansk-bioconsult-aps/snedsted/tekniske-konsulenter/0LZE21I01OU/","Technical Consultants"
"1004","https://www.proff.dk/firma/ja-bioservice-aps/skive/tekniske-konsulenter/0LRLMZI01OU/","Technical Consultants"
"1292","https://www.proff.dk/firma/lawa-bioconsulting-aps/br%C3%B8nsh%C3%B8j/tekniske-konsulenter/0OKYHOI01OU/","Technical Consultants"
"1365","https://www.proff.dk/firma/fermbiotics-aps/b%C3%A6kke/tekniske-konsulenter/0N8MWRI01OU/","Technical Consultants"
"1389","https://www.proff.dk/firma/biotechnics-danmark-as/h%C3%B8rsholm/tekniske-konsulenter/0HR6TUI01OU/","Technical Consultants"
"1484","https://www.proff.dk/firma/biopartner-nordic-aps/hedehusene/tekniske-konsulenter/0MPR6SI01OU/","Technical Consultants"
"1505","https://www.proff.dk/firma/biofuel-technology-holding-aps/eg%C3%A5/tekniske-konsulenter/0LUMD3I01OU/","Technical Consultants"
"1537","https://www.proff.dk/firma/bio2oil-aps/aarhus-v/tekniske-konsulenter/0LRLEDI01OU/","Technical Consultants"
"1818","https://www.proff.dk/firma/bionic-progress-gears-aps/randers-c/tekniske-konsulenter/0OU51TI01OU/","Technical Consultants"
"1825","https://www.proff.dk/firma/bioconsult-aps/aarhus-v/tekniske-konsulenter/0H9941I01OU/","Technical Consultants"
